author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
J. Krishnamurti, Paperback,Home::History & Humanities::Philosophy::Non-western philosophy::Oriental & indian philosophy,, 194 mm, 1846043751, 9781846043758,, 352,₹239, Ebury Publishing, 01 Aug 2013, Y,,The First and Last Freedom,https://www.bookswagon.com/book/first-last-freedom-j-j/9781846043758, 244 gr, 124 mm
 Ladybird, Board book,Home::General,, 260 mm, 0241379121, 9780241379127,, 12,₹364, Penguin Books Ltd, 13 Jun 2019,,,Baby Touch: Peekaboo,https://www.bookswagon.com/book/baby-touch-ladybird/9780241379127, 558 gr, 260 mm
Dreamland Publications, Paperback,Home::General,,, 8195163211, 9788195163212, English, 10,₹120, Dreamland Publications, 2021,,,Flap Book- Dinosaur World,https://www.bookswagon.com/book/flap-book-dinosaur-world-dreamland/9788195163212,, 0.3 mm
various, Paperback,Home::General,, 10.2 mm, 9390391628, 9789390391622, Tamil, 1112,₹551, Fingerprint! Publishing, 01 Sep 2020, Y,,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) Tamil,https://www.bookswagon.com/book/worlds-greatest-personal-growth-wealth/9789390391622, 700 gr, 20.3 mm
 Agatha Christie, Paperback,Home::General, 21, 198 mm, 0008196672, 9780008196677,, 176,₹259, HarperCollins Publishers, 18 May 2017, Y,,The Unexpected Guest,https://www.bookswagon.com/book/unexpected-guest-agatha-christie/9780008196677, 130 gr, 130 mm
Dreamland Publications, Paperback,Home::General,, 280 mm, 9350897601, 9789350897607, English, 64,₹207, Dreamland Publications, 2016,,,Refreshing Mandala- Colouring Book for Adults Book 1,https://www.bookswagon.com/book/refreshing-mandala-colouring-adults-book/9789350897607, 325 gr, 280 mm
"Benjamin Franklin
", PAPERBACK,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military",, 197 mm, 8175993286, 9788175993280, ENGLISH, 240,₹119, Fingerprint! Publishing," Dec,2015", Y,,The Autobiography OfBenjamin Franklin,https://www.bookswagon.com/book/autobiography-ofbenjamin-franklin-franklin-benjamin/9788175993280, 136 gr, 127 mm
 Nelson, Paperback,Home::General,,, 8131262170, 9788131262177, English, 340,"₹1,074", Elsevier Health Sciences, 13 Jul 2020,,,"Wheeler's Dental Anatomy, Physiology and Occlusion, 11e, South Asia Edition",https://www.bookswagon.com/book/wheelers-dental-anatomy-physiology-occlusion/9788131262177,,
Wonder House Books, Paperback,Home::General,,, 9354400884, 9789354400889, English, 200,₹119, Wonder House Books, 12 Aug 2021,,,Illustrated Ramayana For Children (Black and White),https://www.bookswagon.com/book/illustrated-ramayana-children-black-white/9789354400889,, 130 mm
Lewis Norman, Paper Back,Home::General,,, 014344798X, 9780143447986, English, 208,₹119,,,,,30 Days To Better English,https://www.bookswagon.com/book/30-days-better-english-lewis/9780143447986,,
Rick Riordan , Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::General fiction (children’s/ya),, 196 mm, 0141346833, 9780141346830,, 384,₹333, Penguin Books Ltd, 04 Jul 2013, Y,,Percy Jackson and the Battle of the Labyrinth (Book 4),https://www.bookswagon.com/book/percy-jackson-battle-labyrinth-book/9780141346830, 267 gr, 130 mm
Steven D Levitt, PAPERBACK,Home::General,,, 0062312677, 9780062312679, ENGLISH, 336,₹259,, 15 Jul. 2013,,,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,https://www.bookswagon.com/book/freakonomics-steven-d-levitt/9780062312679,,
Jay Shetty, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Popular psychology::Assertiveness, motivation & self-esteem",, 216 mm, 0008386595, 9780008386597, ENGLISH, 320,₹324,, 14 Apr 2020, Y,,Think Like A Monk,https://www.bookswagon.com/book/think-like-a-monk-jay/9780008386597, 304 gr, 135 mm
Coleman Barks, Paperback,Home::General,, 39.99992 mm, 9388241193, 9789388241199, English, 240,₹303, Manjul Publishing House, 10 Nov 2018,,,Rumi's Little Book of Love and Laughter,https://www.bookswagon.com/book/rumis-little-book-love-laughter/9789388241199, 453.59237 gr, 139.99972 mm
Peppa Pig, Paperback,Home::General,, 297 mm, 024137166X, 9780241371664,, 16,₹119, Penguin Books Ltd, 10 Jan 2019,,,Peppa Pig: Yum! Yum! Yum! Sticker Activity Book,https://www.bookswagon.com/book/peppa-pig-peppa-pig/9780241371664, 120 gr, 210 mm
Wonder House Books, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories,, 35 mm, 9354400698, 9789354400698, Hindi, 60,₹226, Wonder House Books, 12 Aug 2021, Y, 30 Early Learning Flash Cards for Kids,My First Flash Cards Hindi Varnamala : 30 Early Learning Flash Cards For Kids,https://www.bookswagon.com/book/my-first-flash-cards-hindi/9789354400698,, 87 mm
Sudha Murty, Paperback,Home::General,, 203 mm, 0143103296, 9780143103295, English, 160,₹223, Penguin Books India Pvt Ltd, 17 Sep 2007, Y,,Mahashweta,https://www.bookswagon.com/book/mahashweta-sudha-murty/9780143103295, 700 gr, 127 mm
Kumar, Paperback,Home::General,, 9.99998 mm, 8131262111, 9788131262115, English,,"₹2,407", Elsevier Health Science, 01 Jan 2020,,,Robbins and Cotran Pathologic Basis of Disease: South Asia Edition,https://www.bookswagon.com/book/robbins-cotran-pathologic-basis-disease/9788131262115,, 174.99965 mm
Johari J C, Paperback,Home::Society & social sciences::Politics & Current Events::Comparative politics,, 242 mm, 8120757580, 9788120757585,  English, 520,₹470, Sterling Publishers Pvt.Ltd, 31 Mar 2011, N,,Comparative Politics,https://www.bookswagon.com/book/comparative-politics-j-c-j/9788120757585, 810 gr, 174 mm
Jeff Kinney , Hardback,Home::Children & Teens::Children’s & young adult fiction & true stories::General fiction (children’s/ya),, 136 mm, 0141345152, 9780141345154, ENGLISH, 256,₹425, Penguin Books Ltd, 02 Jul 2012, Y,,The Wimpy Kid Movie Diary,https://www.bookswagon.com/book/wimpy-kid-movie-diary-jeff/9780141345154, 496 gr, 198 mm
various, Paperback,Home::General,, 10.2 mm, 9390391512, 9789390391516, Hindi, 920,₹524, Fingerprint! Publishing, 01 Sep 2020,,,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) Hindi,https://www.bookswagon.com/book/worlds-greatest-personal-growth-wealth/9789390391516, 650 gr, 20.3 mm
Arjun Dev, Paperback,Home::General,, 216 mm, 8125036873, 9788125036876, English , 288,₹360, Orient BlackSwan, 2009,, Social Science,History Of The World: From The Late Nineteenth To The Early Twenty-First Century,https://www.bookswagon.com/book/history-world-indira-arjun-dev/9788125036876, 538 gr, 140 mm
Benjamin Graham, Paperback,Home::General,,, 9390924219, 9789390924219, Hindi, 590,₹495, Manjul Publishing House, 13 Aug 2021,,,The Intelligent Investor (Hindi),https://www.bookswagon.com/book/intelligent-investor-hindi-benjamin-graham/9789390924219,, 140 mm
 Dale Carnegie, Paperback,Home::General,, 178 mm, 8129140179, 9788129140173, English, 288,₹117,, 20 May 2016, N,,How to win Friends and influence people,https://www.bookswagon.com/book/how-win-friends-influence-people/9788129140173, 231 gr, 108 mm
Carol Bolt, Hardback,"Home::Parenting, Family & Health::Body, Mind & Spirit::Fortune-telling & divination", 57, 159 mm, 0553813544, 9780553813548, English, 704,₹489, Transworld Publishers Ltd, 02 Nov 2000, Y," The gift book that became an internet sensation, o",The Book Of Answers,https://www.bookswagon.com/book/book-answers-carol-bolt/9780553813548, 504 gr, 140 mm
K.D. Tripathi, Paperback,Home::Medicine::Other branches of medicine,, 121 mm, 9352706897, 9789352706891,, 258,₹378, Jaypee Brothers Medical Publishers, 01 Jan 2019,,,Pharmacological Classification of Drugs with Doses and Preparations,https://www.bookswagon.com/book/pharmacological-classification-drugs-doses-preparations/9789352706891, 217 gr, 171 mm
Shravya Bhinder, Paperback,Home::Fiction::Modern & contemporary fiction,, 196 mm, 0143445901, 9780143445906, English, 256,₹205, Penguin, 01 Feb 2019, Y,,Something I Never Told You,https://www.bookswagon.com/book/something-i-never-told-you/9780143445906, 204 gr, 130 mm
Indu Khatri, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development",, 216 mm, 8184958366, 9788184958362, English, 232,₹284, Jaico Publishing House, 01 Apr 2016, N,,Law of Attraction,https://www.bookswagon.com/book/law-attraction-indu-mitesh-khatri/9788184958362, 299 gr, 140 mm
Dreamland Publications, Hardcover,Home::General,, 21 mm, 9350896540, 9789350896549, English,,₹207, Dreamland Publications, 1 June 2017,,,My Baby Record Book,https://www.bookswagon.com/book/my-baby-record-book-dreamland/9789350896549, 0 gr, 236 mm
"Ganatra, Ami", Paperback,Home::English Language Teaching::Elt: learning material & coursework::Elt graded readers::Elt literature & fiction readers,,, 9354353320, 9789354353321, English, 236,₹395, Bloomsbury India, 28 Jul 2022,,,Ramayana Unravelled: Lesser Known Facets of Rishi Valmiki?s Epic,https://www.bookswagon.com/book/ramayana-unravelled-ganatra-ami/9789354353321,,
Kahlil Gibran, Paperback,Home::General,, 1.0 mm, 9389567459, 9789389567458, Tamil, 136,₹77, Fingerprint! Publishing, 01 Oct 2019,,,The Prophet (Tamil),https://www.bookswagon.com/book/prophet-tamil-kahlil-gibran/9789389567458, 110 gr, 12.7 mm
Devashish Sardana, Paperback,Home::Fiction::Crime & mystery,, 196 mm, 0143454374, 9780143454373, English, 288,₹205, Penguin Random House India Pvt. Ltd, 01 May 2022, Y, Keep Your Girls Safe. Boys Safer.,Girl in the Glass Case,https://www.bookswagon.com/book/girl-in-glass-case-devashish/9780143454373, 227 gr, 130 mm
 Scholastic, Cards,Home::Children & Teens::Educational material::Educational: english language & literacy::Educational: english language: readers & reading schemes,, 152 mm, 1338233580, 9781338233582, English,,₹600, Scholastic Teaching Resources, 01 Mar 2018, Y,,Flash Cards: Sight Words,https://www.bookswagon.com/book/flash-cards-scholastic/9781338233582, 159 gr, 84 mm
